0	2994	76
2	4281	76
3	445	263
3	564	48
3	1480	152
3	1633	129
3	2399	48
3	3680	263
3	4771	267
3	4771	308
4	3297	152
5	2880	76
6	617	115
6	2490	217
6	3297	61
8	3151	250
8	3297	61
8	5399	251
10	120	61
11	3054	76
12	1916	152
14	1050	1
14	3297	76
14	5351	1
15	2666	162
15	3297	76
16	2506	76
17	2758	4
18	1916	61
19	2665	198
19	3297	76
19	4453	35
20	617	198
20	1776	121
20	3151	87
20	3297	76
21	533	205
21	3297	61
21	3297	217
22	3297	76
22	3362	1
23	2340	271
24	85	244
24	120	76
24	120	244
24	2664	244
24	2994	244
24	3297	76
24	3297	244
24	3727	244
25	1095	217
25	2343	147
25	2630	191
25	3297	61
25	3297	122
26	1916	61
26	1916	122
27	85	115
27	120	61
27	5554	297
28	2994	76
28	3823	198
29	2721	63
29	3297	61
30	85	61
30	1916	61
30	2501	250
30	4771	250
31	3297	76
32	302	251
32	3297	61
33	3297	61
33	3819	217
34	205	166
34	2547	166
34	2862	277
34	3056	166
34	3297	76
34	4054	52
35	3297	61
35	4781	195
35	4781	251
36	1035	217
36	3297	61
36	3297	122
37	3297	76
37	3380	99
38	3297	152
39	1095	217
39	3297	61
39	4130	17
39	4130	146
40	1480	76
41	560	151
41	617	217
41	2288	191
41	3151	250
41	3297	61
41	4771	250
41	4929	146
42	3297	61
43	617	15
43	1110	99
43	3297	152
43	3460	99
43	5196	99
44	3297	76
45	1360	152
46	1916	152
47	2111	198
47	3297	76
48	3297	61
49	614	160
49	3297	76
49	5266	1
50	285	50
50	285	85
50	285	114
50	285	165
50	285	229
50	788	60
50	3151	267
50	3297	152
51	5209	76
52	85	152
52	120	152
52	276	273
52	694	50
52	694	229
52	1519	48
52	2579	48
52	2619	48
52	2994	152
52	4281	152
52	4397	48
52	4771	267
52	5209	152
52	5209	273
53	85	54
53	85	76
53	1388	208
53	2353	208
53	2514	208
53	2696	208
53	4071	208
54	2111	217
54	2413	147
54	3297	61
54	5551	147
55	1015	47
55	2880	76
55	4795	76
56	3151	250
56	3297	61
57	2859	130
57	3297	61
57	4111	217
58	541	151
58	617	217
58	2721	63
58	3151	250
58	3297	61
59	4969	226
61	2983	76
62	4216	76
64	3297	76
65	296	208
65	4070	54
65	4070	76
65	4771	87
66	560	151
66	3257	45
66	3297	61
66	5266	217
67	5209	76
68	120	61
68	418	98
68	1261	134
68	1558	297
68	1805	241
68	1863	51
68	2862	277
68	3151	250
68	3297	61
68	4771	250
68	5583	239
68	5799	98
69	3297	76
69	3359	87
69	4645	1
70	5058	76
71	3297	61
71	3819	217
72	1095	15
72	3297	152
72	3919	118
73	3297	76
74	683	198
74	683	235
74	2160	35
74	2160	45
74	2321	280
74	2994	76
74	4217	62
74	4793	62
74	5655	45
75	1480	61
77	1480	76
77	1480	152
78	608	147
78	617	217
78	841	285
78	1630	241
78	3151	250
78	3297	61
78	3297	122
78	4233	147
79	3297	76
80	617	115
80	1038	146
80	1976	19
80	3297	61
81	662	67
81	1204	190
81	1386	190
81	1480	61
81	1880	250
81	2501	250
81	2696	174
81	2824	190
81	3110	174
81	3124	190
81	3632	251
81	3725	190
81	4455	190
81	4621	190
81	4634	63
81	4771	3
81	4771	250
81	5301	277
81	5514	66
81	6105	190
82	734	1
82	3297	76
83	3297	61
83	3847	251
84	169	208
84	235	54
84	235	76
84	1024	87
84	1024	292
84	1129	208
84	1308	208
84	1562	208
84	2353	208
84	2885	208
84	3094	208
84	3420	208
84	3665	208
84	3702	208
84	3711	208
84	3823	208
84	3826	208
84	3898	208
84	4002	208
84	4614	208
84	4791	1
84	4791	54
84	4791	76
84	4830	208
84	5486	4
85	53	171
85	85	76
85	120	127
85	293	127
85	545	127
85	677	127
85	695	266
85	700	127
85	790	127
85	1018	127
85	1044	127
85	1186	127
85	1211	127
85	1224	127
85	1246	171
85	1358	45
85	1360	127
85	1362	127
85	1424	289
85	1480	127
85	1517	162
85	1710	266
85	1878	127
85	1879	289
